UNIT,TIMESTAMP,TYPE,MARKET,INSTRUMENT,MAPPED_INSTRUMENT,BASE,QUOTE,BASE_ID,QUOTE_ID,TRANSFORM_FUNCTION,OPEN,HIGH,LOW,CLOSE,FIRST_TRADE_TIMESTAMP,LAST_TRADE_TIMESTAMP,FIRST_TRADE_PRICE,HIGH_TRADE_PRICE,HIGH_TRADE_TIMESTAMP,LOW_TRADE_PRICE,LOW_TRADE_TIMESTAMP,LAST_TRADE_PRICE,TOTAL_TRADES,TOTAL_TRADES_BUY,TOTAL_TRADES_SELL,TOTAL_TRADES_UNKNOWN,VOLUME,QUOTE_VOLUME,VOLUME_BUY,QUOTE_VOLUME_BUY,VOLUME_SELL,QUOTE_VOLUME_SELL,VOLUME_UNKNOWN,QUOTE_VOLUME_UNKNOWN
DAY,1625529600,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,32.91,35,32.91,34.29,1625529813,1625615880,33.05,35,1625561916,33.02,1625538169,34.29,1323,700,623,0,52631.22243746,1781881.73330973,30054.29973983,1018524.39796255,22576.92269763,763357.335347266,0,0
DAY,1625616000,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,34.29,40,33.89,36.5,1625616062,1625702293,34.16,40,1625651343,33.89,1625617972,36.5,2428,1393,1035,0,105047.06297725,3825384.02855421,61243.9347475,2224485.0203092,43803.12822975,1600899.00824492,0,0
DAY,1625702400,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,36.5,36.99,32.75,33.19,1625702495,1625788796,36.6,36.99,1625702912,32.75,1625783384,33.19,2973,820,2153,0,121745.72990599,4196221.33209708,26520.16507231,923406.140179592,95225.56483368,3272815.19191755,0,0
DAY,1625788800,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,33.19,34.41,32.01,33.33,1625788806,1625875119,33.19,34.41,1625840699,32.01,1625793095,33.33,1559,635,924,0,55544.40437247,1837947.58061353,15155.91199226,507078.981400198,40388.49238021,1330868.59921329,0,0
DAY,1625875200,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,33.33,34.16,31.09,31.72,1625875328,1625961586,33.34,34.16,1625877823,31.09,1625947887,31.72,1130,452,678,0,30297.74290243,986648.802726546,12728.63812068,416401.566681722,17569.10478175,570247.236044822,0,0
DAY,1625961600,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,31.72,32.57,31.42,32.06,1625961650,1626046818,31.72,32.57,1626016607,31.42,1625989667,32.06,741,387,354,0,23938.04596829,766003.558457782,13853.52547914,443507.015860743,10084.52048915,322496.542597037,0,0
DAY,1626048000,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,32.06,32.62,30.09,30.96,1626048241,1626134058,32.17,32.62,1626061406,30.09,1626118490,30.96,1173,394,779,0,46221.77522497,1444486.43477808,8922.87567342,279634.989022529,37298.89955155,1164851.44575557,0,0
DAY,1626134400,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,30.96,31.03,28.87,29.16,1626134650,1626220752,30.65,31.03,1626141661,28.87,1626206618,29.16,1313,451,862,0,56957.52221411,1721921.34052851,14216.8960779,431526.624658756,42740.62613621,1290394.71586979,0,0
DAY,1626220800,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,29.16,31.43,27.45,31.32,1626220931,1626307173,29.08,31.43,1626288011,27.45,1626243313,31.32,1670,828,842,0,57111.07201248,1690335.74954294,28957.79401866,851589.720018341,28153.27799382,838746.029524571,0,0
DAY,1626307200,954,kraken,SOLUSD,SOL-USD,SOL,USD,3,5,,31.32,31.41,28.07,28.51,1626307224,1626393558,31.32,31.41,1626311908,28.07,1626369627,28.51,2083,674,1409,0,92720.05468001,2735066.06839756,27326.02326175,818665.603684572,65394.03141826,1916400.46471297,0,0
